participant_id	sex	age
sub-01	male	21
sub-02	female	22
sub-03	female	21
sub-04	female	20
sub-05	female	24
sub-06	male	21
sub-07	male	29
sub-08	female	21
sub-09	male	22
sub-10	female	21
sub-11	female	19
sub-12	female	21
sub-13	female	30
sub-14	female	22
sub-15	male	22
sub-16	female	19
sub-17	male	21
sub-18	female	23
sub-19	female	21
sub-20	male	20
sub-21	female	20
